2_ID_FINAL;4_SEQUENCIAL;5_INCRICAO_IMOVEL_UNIDADE;7_GEOCODING;46_ENDERECO;47_BAIRRO;44_Y_UTM;45_X_UTM;22_AREA_TERRE;23_AREA_TERRENO_LOTE_CARTOG;28_PROFUNDIDA;29_TESTADA;15_TIPO_CONSTRUCAO;24_AREA_CONST_UNIDADE;25_AREA_TOTAL_CONSTR;27_QTD_PAV;30_PADRAO_CONST;31_ESTADO_CONSERV;32_IDADE;34_SITUACAO_QUADRA;36_TIPO_VIA;39_ILUM_PUBLI;41_PAVIMENTAC;43_GUIAS_SARJ;56_COD_SETOR_CENSITARIO;57_V002_;58_V005_;59_V007_;13_NAT_EVENTO;16_DATA_AVALI_VENC;16_2_PERIO_AV;17_VALAVALIAÇÃO;18_VALOPERAÇÃO
9459;14710749;1.3105.017.04.0427.0072.2;131050170427;RUA CORONEL DﾁRIO FERRAZ DE Sﾁ, 511 AP 104 BL. 05 ,CANDEIAS;CANDEIAS;9094020,50691782;287985,066074407;4135,39;4143,31437681;653,986270545461;6,335476084772;APARTAMENTO;47,62;6048,8;4;3;2;18;2;1;2;1;1;260790105000398;615;1497,74;1629,9;2 - ESTIMATIVA ITBI;07/08/2020;3 - A PARTIR DE 01/08/2020;105200;105000
7573;10360557;1.3105.021.03.0203.0001.1;131050210203;RUA TOCANTINEA, 60 AP 101 BL. A ,CANDEIAS;CANDEIAS;9094103,48495617;287872,059092845;814;781,801030966;73,2706808430163;10,6700391203;APARTAMENTO;83,3;1004,7;3;3;2;30;2;1;2;1;1;260790105000185;807;3434,11;3790,9;2 - ESTIMATIVA ITBI;13/04/2020;2 - DE 01/03/2020 ATE 31/07/2020;104500;40000
8607;14910357;1.3105.025.01.0116.0010.4;131050250116;RUA DOUTOR ANICETO VAREJﾃO, 979 AP 202 BL. BL-A ,CANDEIAS;CANDEIAS;9094185,40687379;287721,177052928;1673,36;1710,68622127;65,1007812062987;26,2775068067;APARTAMENTO;42;2022,06;4;4;2;10;2;1;2;1;1;260790105000186;364;1920,82;1998,9;2 - ESTIMATIVA ITBI;12/06/2020;2 - DE 01/03/2020 ATE 31/07/2020;104900;105000
7206;14950600;1.3105.093.03.0254.0005.8;131050930254;RUA CﾁRCERES, 103 CS 102 BL. A ,CANDEIAS;CANDEIAS;9093866,54554419;287208,89920408;660;649,490154789;29,7250068191088;21,8499581427;APARTAMENTO;55,98;671,83;2;3;2;8;2;1;2;1;1;260790105000190;862;944,33;1036,98;2 - ESTIMATIVA ITBI;04/03/2020;2 - DE 01/03/2020 ATE 31/07/2020;137800;140000
9394;14449234;1.3105.097.02.0256.0061.5;131050970256;RUA JANGADEIRO, 1320 AP 405 BL. B ,CANDEIAS;CANDEIAS;9093866,84566596;287370,743643365;3871;3637,14151464;30,1183657266648;51,0727449533;APARTAMENTO;63,46;6092,16;4;3;2;27;2;1;2;2;2;260790105000189;975;1289,31;1548,19;2 - ESTIMATIVA ITBI;04/03/2020;2 - DE 01/03/2020 ATE 31/07/2020;98100;75000
9395;14449480;1.3105.097.02.0256.0078.0;131050970256;RUA JANGADEIRO, 1320 AP 206 BL. C ,CANDEIAS;CANDEIAS;9093866,84566596;287370,743643365;3871;3637,14151464;30,1183657266648;51,0727449533;APARTAMENTO;63,46;6092,16;4;3;2;27;2;1;2;2;2;260790105000189;975;1289,31;1548,19;2 - ESTIMATIVA ITBI;17/03/2020;2 - DE 01/03/2020 ATE 31/07/2020;98100;110000
6743;14296390;1.3105.099.02.0222.0001.5;131050990222;RUA PEDRINﾓPOLIS, 7068 ,CANDEIAS;CANDEIAS;9093888,94487481;287573,975214828;450;450,591697299;31,1397059059499;14,4700049082;APARTAMENTO;179,14;179,14;1;4;2;29;2;1;2;1;1;260790105000189;975;1289,31;1548,19;2 - ESTIMATIVA ITBI;10/03/2020;2 - DE 01/03/2020 ATE 31/07/2020;324600;330000
7083;14882507;1.3105.105.02.0184.0001.3;131051050184;RUA CUIABﾁ, 1140 CS 01 ,CANDEIAS;CANDEIAS;9094021,17697124;287784,501378485;567,88;583,526606925;36,4987670225804;15,98757039009;APARTAMENTO;50,81;252,14;1;3;2;11;2;1;2;2;2;260790105000186;364;1920,82;1998,9;2 - ESTIMATIVA ITBI;06/05/2020;2 - DE 01/03/2020 ATE 31/07/2020;170700;255500
6453;10361863;1.3105.111.03.0231.0001.2;131051110231;RUA JANGADEIRO, 586 AP 001 ,CANDEIAS;CANDEIAS;9093845,42710307;287918,394671179;400;369,341911654;24,4478452551365;15,1073400457;APARTAMENTO;60,41;446;4;3;3;30;2;1;2;2;1;260790105000185;807;3434,11;3790,9;2 - ESTIMATIVA ITBI;19/08/2020;3 - A PARTIR DE 01/08/2020;57900;57000
8235;14750422;1.3105.113.04.0065.0017.3;131051130065;RUA CORONEL DﾁRIO FERRAZ DE Sﾁ, 601 AP 205 ,CANDEIAS;CANDEIAS;9093925,34977241;287966,701679542;1233,98;1187,9777788;28,7132369443985;41,373871608431;APARTAMENTO;90,33;2269,88;4;3;2;16;2;1;2;1;1;260790105000398;615;1497,74;1629,9;2 - ESTIMATIVA ITBI;29/05/2020;2 - DE 01/03/2020 ATE 31/07/2020;114100;115000
